dataset,feature_setting,explainer,model,node_id,true_label,original_pred_label,original_prob_illicit,deletion_pred_label,deletion_prob_illicit,deletion_drop,deletion_label_flip,insertion_pred_label,insertion_prob_illicit,insertion_gap,insertion_preservation,num_graph_edges,num_explanation_edges,num_explanation_nodes,sparsity_edges
Elliptic,tx+agg,PGExplainer,graphsage,18323,0,0,0.8480489253997803,1,0.27453115582466125,0.573517769575119,1,0,0.8480489253997803,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,PGExplainer,graphsage,17047,0,0,0.8437139987945557,0,0.7601467370986938,0.08356726169586182,0,0,0.8437139987945557,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,PGExplainer,graphsage,24239,0,0,0.7818787097930908,0,0.8244615793228149,-0.04258286952972412,0,0,0.7818787097930908,0.0,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,PGExplainer,graphsage,25447,0,0,0.5857320427894592,1,0.311593621969223,0.2741384208202362,1,0,0.5857320427894592,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,DGL_SubgraphX,graphsage,29912,0,0,0.9849860668182373,0,0.9815882444381714,0.003397822380065918,0,0,0.9924840331077576,-0.007497966289520264,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,DGL_SubgraphX,graphsage,19539,0,0,0.9418798685073853,0,0.9418798685073853,0.0,0,0,0.9470897912979126,-0.005209922790527344,1,36624,0,0,1.0
Elliptic,tx+agg,DGL_SubgraphX,graphsage,18903,0,0,0.9391763806343079,0,0.9391763806343079,0.0,0,0,0.9253217577934265,0.013854622840881348,1,36624,0,0,1.0
Elliptic,tx+agg,DGL_SubgraphX,graphsage,18323,0,0,0.8480489253997803,0,0.8987325429916382,-0.05068361759185791,0,0,0.8461351990699768,0.0019137263298034668,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,DGL_SubgraphX,graphsage,17047,0,0,0.8437139987945557,0,0.8437139987945557,0.0,0,0,0.7601467370986938,0.08356726169586182,1,36624,0,0,1.0
Elliptic,tx+agg,DGL_SubgraphX,graphsage,24239,0,0,0.7818787097930908,0,0.7850589156150818,-0.003180205821990967,0,0,0.8244615793228149,-0.04258286952972412,1,36624,1,2,0.9999726955002184
Elliptic,tx+agg,DGL_SubgraphX,graphsage,25447,0,0,0.5857320427894592,0,0.5988260507583618,-0.013094007968902588,0,1,0.311593621969223,0.2741384208202362,0,36624,1,2,0.9999726955002184
Elliptic,tx+agg,DGL_SubgraphX_large,graphsage,29912,0,0,0.9849860668182373,0,0.9815882444381714,0.003397822380065918,0,0,0.9924840331077576,-0.007497966289520264,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,DGL_SubgraphX_large,graphsage,19539,0,0,0.9418798685073853,0,0.9281688332557678,0.013711035251617432,0,0,0.990975558757782,-0.04909569025039673,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,DGL_SubgraphX_large,graphsage,18903,0,0,0.9391763806343079,0,0.9389299750328064,0.00024640560150146484,0,0,0.9066033959388733,0.03257298469543457,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,DGL_SubgraphX_large,graphsage,18323,0,0,0.8480489253997803,0,0.8851652145385742,-0.037116289138793945,0,0,0.6771880984306335,0.17086082696914673,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,DGL_SubgraphX_large,graphsage,17047,0,0,0.8437139987945557,0,0.8437139987945557,0.0,0,0,0.7601467370986938,0.08356726169586182,1,36624,0,0,1.0
Elliptic,tx+agg,DGL_SubgraphX_large,graphsage,24239,0,0,0.7818787097930908,0,0.736290454864502,0.04558825492858887,0,0,0.9517641067504883,-0.16988539695739746,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,DGL_SubgraphX_large,graphsage,25447,0,0,0.5857320427894592,0,0.5988260507583618,-0.013094007968902588,0,1,0.311593621969223,0.2741384208202362,0,36624,1,2,0.9999726955002184
